32;01/05/2024 19:44:19 a  S=2;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;06 A4 | 17;6;GroupValueWrite;LL_ACK
33;01/05/2024 19:44:19 a  S=4;Bajo;1.1.2;ZoningBOX 6;2/1/3;AA - CONSIGNA;0C 1A | 21;6;GroupValueWrite;LL_ACK
34;01/05/2024 19:44:19 a  S=6;Bajo;1.1.1;KLIC-MITT v2;2/1/4;AA - CONSIGNA FB;0C 1A | 21;6;GroupValueWrite;LL_ACK
35;01/05/2024 19:44:48 a  S=0;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;06 40 | 16;6;GroupValueWrite;LL_ACK
36;01/05/2024 19:44:48 a  S=2;Bajo;1.1.2;ZoningBOX 6;2/1/3;AA - CONSIGNA;07 D0 | 20;6;GroupValueWrite;LL_ACK
37;01/05/2024 19:44:48 a  S=4;Bajo;1.1.1;KLIC-MITT v2;2/1/4;AA - CONSIGNA FB;07 D0 | 20;6;GroupValueWrite;LL_ACK
38;01/05/2024 19:44:51 a  S=6;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;1/1/1;ZONA 1 - AMBIENTE;06 7C | 16,6;6;GroupValueWrite;LL_ACK
39;01/05/2024 19:45:07 a  S=0;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;06 A4 | 17;6;GroupValueWrite;LL_ACK
40;01/05/2024 19:45:07 a  S=2;Bajo;1.1.2;ZoningBOX 6;2/1/3;AA - CONSIGNA;0C 1A | 21;6;GroupValueWrite;LL_ACK
41;01/05/2024 19:45:07 a  S=4;Bajo;1.1.1;KLIC-MITT v2;2/1/4;AA - CONSIGNA FB;0C 1A | 21;6;GroupValueWrite;LL_ACK
42;01/05/2024 19:45:39 a  S=6;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;1/1/1;ZONA 1 - AMBIENTE;06 18 | 15,6;6;GroupValueWrite;LL_ACK
43;01/05/2024 19:45:50 a  S=0;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 08 | 18;6;GroupValueWrite;LL_ACK
44;01/05/2024 19:45:50 a  S=2;Bajo;1.1.2;ZoningBOX 6;2/1/3;AA - CONSIGNA;0C 4C | 22;6;GroupValueWrite;LL_ACK
45;01/05/2024 19:45:50 a  S=4;Bajo;1.1.1;KLIC-MITT v2;2/1/4;AA - CONSIGNA FB;0C 4C | 22;6;GroupValueWrite;LL_ACK
46;01/05/2024 19:45:53 a  S=6;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 08 | 18;6;GroupValueWrite;LL_ACK
47;01/05/2024 19:46:16 a  S=0;Bajo;1.1.7;Z35 ZONA 6;1/6/1;ZONA 6 - AMBIENTE;07 26 | 18,3;6;GroupValueWrite;LL_ACK
48;01/05/2024 19:47:05 a  S=2;Bajo;1.1.5;Z35 ZONA 4;1/4/1;ZONA 4 - AMBIENTE;07 1C | 18,2;6;GroupValueWrite;LL_ACK
49;01/05/2024 19:47:07 a  S=4;Bajo;1.1.4;Z35 ZONA 3;1/3/1;ZONA 3 - AMBIENTE;07 58 | 18,8;6;GroupValueWrite;LL_ACK
50;01/05/2024 19:47:22 a  S=6;Bajo;1.1.6;Z35 ZONA 5;1/5/1;ZONA 5 - AMBIENTE;07 C6 | 19,9;6;GroupValueWrite;LL_ACK
51;01/05/2024 19:47:34 a  S=0;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 6C | 19;6;GroupValueWrite;LL_ACK
52;01/05/2024 19:47:34 a  S=2;Bajo;1.1.2;ZoningBOX 6;2/1/3;AA - CONSIGNA;0C 7E | 23;6;GroupValueWrite;LL_ACK
53;01/05/2024 19:47:34 a  S=4;Bajo;1.1.1;KLIC-MITT v2;2/1/4;AA - CONSIGNA FB;0C 7E | 23;6;GroupValueWrite;LL_ACK
54;01/05/2024 19:48:01 a  S=6;Bajo;1.1.6;Z35 ZONA 5;1/5/7;ZONA 5 - ON/OFF DEMANDA;$01 | Encender;6;GroupValueWrite;LL_ACK
55;01/05/2024 19:48:26 a  S=0;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;0/0/2;HORA;73 30 1C | Wednesday, 19:48:28;6;GroupValueWrite;LL_ACK
56;01/05/2024 19:48:26 a  S=2;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;0/0/1;FECHA;01 05 18 | no day, 1:05:24;6;GroupValueWrite;LL_ACK
57;01/05/2024 19:49:08 a  S=4;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 D0 | 20;6;GroupValueWrite;LL_ACK
58;01/05/2024 19:49:08 a  S=6;Bajo;1.1.2;ZoningBOX 6;2/1/3;AA - CONSIGNA;0C B0 | 24;6;GroupValueWrite;LL_ACK
59;01/05/2024 19:49:08 a  S=0;Bajo;1.1.1;KLIC-MITT v2;2/1/4;AA - CONSIGNA FB;0C B0 | 24;6;GroupValueWrite;LL_ACK
60;01/05/2024 19:49:24 a  S=2;Bajo;1.1.6;Z35 ZONA 5;1/5/5;ZONA 5 - ON/OFF TERMOSTATO;$00 | Apagar;6;GroupValueWrite;LL_ACK
61;01/05/2024 19:49:24 a  S=4;Bajo;1.1.6;Z35 ZONA 5;1/5/6;ZONA 5 - ON/OFF TERMOSTATO�;$00 | Apagar;6;GroupValueWrite;LL_ACK
62;01/05/2024 19:49:24 a  S=6;Bajo;1.1.6;Z35 ZONA 5;1/5/7;ZONA 5 - ON/OFF DEMANDA;$00 | Apagar;6;GroupValueWrite;LL_ACK
63;01/05/2024 19:49:24 a  S=0;Bajo;1.1.2;ZoningBOX 6;2/1/1;AA - ON/OFF;$00 | Apagar;6;GroupValueWrite;LL_ACK
64;01/05/2024 19:49:24 a  S=2;Bajo;1.1.1;KLIC-MITT v2;2/1/2;AA - ON/OFF FB;$00 | Apagar;6;GroupValueWrite;LL_ACK
65;01/05/2024 19:49:25 a  S=4;Bajo;1.1.2;ZoningBOX 6;1/5/8;ZONA 5 - REJILLA;$01 | Encender;6;GroupValueWrite;
66;01/05/2024 19:49:25 a  R S=5;Bajo;1.1.2;ZoningBOX 6;1/5/8;ZONA 5 - REJILLA;$01 | Encender;6;GroupValueWrite;
67;01/05/2024 19:49:25 a  R S=6;Bajo;1.1.2;ZoningBOX 6;1/5/8;ZONA 5 - REJILLA;$01 | Encender;6;GroupValueWrite;
68;01/05/2024 19:49:25 a  R S=7;Bajo;1.1.2;ZoningBOX 6;1/5/8;ZONA 5 - REJILLA;$01 | Encender;6;GroupValueWrite;
69;01/05/2024 19:49:28 a  S=0;Bajo;1.1.2;ZoningBOX 6;1/5/9;ZONA 5 - REJILLA FB;$01 | Encender;6;GroupValueWrite;
70;01/05/2024 19:49:28 a  R S=1;Bajo;1.1.2;ZoningBOX 6;1/5/9;ZONA 5 - REJILLA FB;$01 | Encender;6;GroupValueWrite;
71;01/05/2024 19:49:28 a  R S=2;Bajo;1.1.2;ZoningBOX 6;1/5/9;ZONA 5 - REJILLA FB;$01 | Encender;6;GroupValueWrite;
72;01/05/2024 19:49:28 a  R S=3;Bajo;1.1.2;ZoningBOX 6;1/5/9;ZONA 5 - REJILLA FB;$01 | Encender;6;GroupValueWrite;
73;01/05/2024 19:49:28 a  S=4;Bajo;1.1.2;ZoningBOX 6;2/1/3;AA - CONSIGNA;07 D0 | 20;6;GroupValueWrite;LL_ACK
74;01/05/2024 19:49:28 a  S=6;Bajo;1.1.1;KLIC-MITT v2;2/1/4;AA - CONSIGNA FB;07 D0 | 20;6;GroupValueWrite;LL_ACK
75;01/05/2024 19:50:38 a  S=0;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;1/1/1;ZONA 1 - AMBIENTE;06 18 | 15,6;6;GroupValueWrite;LL_ACK
76;01/05/2024 19:50:45 a  S=2;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 6C | 19;6;GroupValueWrite;LL_ACK
77;01/05/2024 19:50:54 a  S=4;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 6C | 19;6;GroupValueWrite;LL_ACK
78;01/05/2024 19:51:16 a  S=6;Bajo;1.1.7;Z35 ZONA 6;1/6/1;ZONA 6 - AMBIENTE;07 44 | 18,6;6;GroupValueWrite;LL_ACK
79;01/05/2024 19:52:05 a  S=0;Bajo;1.1.5;Z35 ZONA 4;1/4/1;ZONA 4 - AMBIENTE;07 30 | 18,4;6;GroupValueWrite;LL_ACK
80;01/05/2024 19:52:07 a  S=2;Bajo;1.1.4;Z35 ZONA 3;1/3/1;ZONA 3 - AMBIENTE;07 58 | 18,8;6;GroupValueWrite;LL_ACK
81;01/05/2024 19:52:10 a  S=4;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;1/1/1;ZONA 1 - AMBIENTE;06 7C | 16,6;6;GroupValueWrite;LL_ACK
82;01/05/2024 19:52:22 a  S=6;Bajo;1.1.6;Z35 ZONA 5;1/5/1;ZONA 5 - AMBIENTE;07 EE | 20,3;6;GroupValueWrite;LL_ACK
83;01/05/2024 19:55:54 a  S=0;Bajo;1.1.1;KLIC-MITT v2;2/1/9;AA - TEMP. INTERNA;07 6C | 19;6;GroupValueWrite;LL_ACK
84;01/05/2024 19:56:16 a  S=2;Bajo;1.1.7;Z35 ZONA 6;1/6/1;ZONA 6 - AMBIENTE;07 44 | 18,6;6;GroupValueWrite;LL_ACK
85;01/05/2024 19:57:05 a  S=4;Bajo;1.1.5;Z35 ZONA 4;1/4/1;ZONA 4 - AMBIENTE;07 3A | 18,5;6;GroupValueWrite;LL_ACK
86;01/05/2024 19:57:07 a  S=6;Bajo;1.1.4;Z35 ZONA 3;1/3/1;ZONA 3 - AMBIENTE;07 62 | 18,9;6;GroupValueWrite;LL_ACK
87;01/05/2024 19:57:10 a  S=0;Bajo;1.1.3;Z41 Pro ZONA 1 ZONA 2;1/1/1;ZONA 1 - AMBIENTE;06 A4 | 17;6;GroupValueWrite;LL_ACK
88;01/05/2024 19:57:22 a  S=2;Bajo;1.1.6;Z35 ZONA 5;1/5/1;ZONA 5 - AMBIENTE;07 E4 | 20,2;6;GroupValueWrite;LL_ACK
